name,type,lat,lon,cuisine,source
Domino's,fast_food,12.957157,77.7386411,pizza,OSM
The Fat Chef,restaurant,12.9575682,77.7409586,international,OSM
Cafe Coffee Day,cafe,12.9639,77.7485355,coffee_shop,OSM
Bhagini Park,restaurant,12.963214,77.7483421,,OSM
Saffron Patch,restaurant,12.9564558,77.7427026,indian,OSM
Mayuri Bar And Restaurant,restaurant,12.9700266,77.7497775,indian,OSM
Shri Lakshmi Vaibhava,restaurant,12.9692871,77.7496864,,OSM
Cafe Coffee Day,cafe,12.9433387,77.5850711,coffee_shop,OSM
Delicacy Chinese Restaurant,restaurant,12.9999497,77.6229731,chinese,OSM
Sai Shakti,restaurant,12.999295,77.5680608,indian,OSM
Hotel Fanoos,fast_food,12.9645047,77.6065319,kebab,OSM
Swathi Deluxe,restaurant,12.9766211,77.5725503,regional,OSM
China Pearl,restaurant,12.9361984,77.6214666,chinese,OSM
Pizza Hut,restaurant,12.934525,77.610909,pizza,OSM
Sahib Singh Sultan,restaurant,12.935016,77.611357,,OSM
Gramin,restaurant,12.934504,77.613547,,OSM
Om,restaurant,12.934323,77.613299,,OSM
McDonald's,fast_food,12.972972,77.6213025,burger,OSM
Nandini,restaurant,12.9306133,77.5825147,indian,OSM
KFC,fast_food,12.9256218,77.5502249,chicken,OSM
Dal Tadka,restaurant,12.9256318,77.5498709,,OSM
Sri Udupi Swaadista,restaurant,13.0055106,77.5787567,,OSM
Rajesh Hotel,restaurant,13.0046183,77.5784554,,OSM
Ring View Restaurant,restaurant,12.9260621,77.6760012,indian,OSM
Hotel Dream Land,restaurant,12.9267671,77.4973876,chicken,OSM
Udupi Upahar,fast_food,12.9250272,77.4986893,,OSM
The Club,restaurant,12.9368003,77.5169615,,OSM
KFC,fast_food,12.9360631,77.5177447,chicken,OSM
McDonald's,fast_food,12.9360526,77.5179485,burger,OSM
Bramhi Aahaara,fast_food,12.9217044,77.5204162,regional,OSM
Beijing Bites,restaurant,12.9214078,77.5206736,chinese,OSM
Coffee Day,cafe,12.920634,77.5205368,,OSM
Masala,restaurant,12.9099779,77.5508753,,OSM
Domino's,fast_food,12.9109528,77.5516022,pizza,OSM
Adyar Ananda Bhavan,restaurant,13.0797112,77.5591265,regional,OSM
Sri Krishna Upahar,restaurant,13.0775498,77.5587667,,OSM
Cafe Coffee Day,cafe,13.0753105,77.5579778,,OSM
Madurai Idly shop,fast_food,12.9372017,77.6244522,,OSM
Maharaja Restaurant,restaurant,12.934295,77.6300787,,OSM
Agarwal Sweets and Restaurant,restaurant,13.041276,77.5163638,,OSM
Domino's,fast_food,13.0374605,77.5657693,pizza,OSM
Food Bay,restaurant,13.0321716,77.5699911,,OSM
KFC,fast_food,13.0318449,77.570207,chicken,OSM
Nandhini Deluxe,restaurant,13.0314371,77.5703125,indian,OSM
Casino,restaurant,13.0289717,77.5712245,,OSM
Auntie Fung's,restaurant,13.0290129,77.5712153,chinese,OSM
Atithi Satkaar,restaurant,13.0362481,77.5747038,chinese;indian,OSM
Fiorano Ristorante,restaurant,12.9331413,77.6228508,spanish,OSM
Namma MTR,fast_food,12.9284497,77.5733648,,OSM
Dragons,restaurant,12.9414203,77.553445,,OSM
Shiv Sagar Signature,restaurant,12.9166102,77.5914577,,OSM
